EfficientNetB0 | эпоха 075/400 | ошибка_обучения=0.8990 | точность_обучения=0.7331 | ошибка_валидации=1.1658 | точность_валидации=0.6685 | precision=0.6786 | recall=0.6404 | ROC-AUC=0.7491
EfficientNetB0 | эпоха 076/400 | ошибка_обучения=0.9448 | точность_обучения=0.7162 | ошибка_валидации=1.1635 | точность_валидации=0.6685 | precision=0.6744 | recall=0.6517 | ROC-AUC=0.7454
EfficientNetB0 | эпоха 077/400 | ошибка_обучения=0.9585 | точность_обучения=0.7180 | ошибка_валидации=1.1578 | точность_валидации=0.6573 | precision=0.6628 | recall=0.6404 | ROC-AUC=0.7436
EfficientNetB0 | эпоха 078/400 | ошибка_обучения=0.9802 | точность_обучения=0.7105 | ошибка_валидации=1.1443 | точность_валидации=0.6910 | precision=0.7024 | recall=0.6629 | ROC-AUC=0.7536
EfficientNetB0 | эпоха 079/400 | ошибка_обучения=0.9158 | точность_обучения=0.7105 | ошибка_валидации=1.0856 | точность_валидации=0.6685 | precision=0.6786 | recall=0.6404 | ROC-AUC=0.7567
EfficientNetB0 | эпоха 080/400 | ошибка_обучения=1.0220 | точность_обучения=0.7011 | ошибка_валидации=1.1369 | точность_валидации=0.6404 | precision=0.6471 | recall=0.6180 | ROC-AUC=0.7441
EfficientNetB0 | эпоха 081/400 | ошибка_обучения=0.9097 | точность_обучения=0.7199 | ошибка_валидации=1.1227 | точность_валидации=0.6517 | precision=0.6552 | recall=0.6404 | ROC-AUC=0.7476
EfficientNetB0 | эпоха 082/400 | ошибка_обучения=0.9434 | точность_обучения=0.7049 | ошибка_валидации=1.0914 | точность_валидации=0.6461 | precision=0.6354 | recall=0.6854 | ROC-AUC=0.7671
EfficientNetB0 | эпоха 083/400 | ошибка_обучения=0.9906 | точность_обучения=0.7011 | ошибка_валидации=1.0234 | точность_валидации=0.6854 | precision=0.6737 | recall=0.7191 | ROC-AUC=0.7764
EfficientNetB0 | эпоха 084/400 | ошибка_обучения=0.8844 | точность_обучения=0.7350 | ошибка_валидации=1.0949 | точность_валидации=0.6629 | precision=0.6629 | recall=0.6629 | ROC-AUC=0.7476
